Height Min_sample_leaf Min_sample_split Validation_Acc
3 52 32 0.804166666667
3 52 42 0.804166666667
3 52 52 0.804166666667
3 52 62 0.804166666667
3 52 72 0.804166666667
3 52 82 0.804166666667
3 52 92 0.804166666667
3 62 2 0.804166666667
3 62 12 0.804166666667
3 62 22 0.804166666667
3 62 32 0.804166666667
3 62 42 0.804166666667
3 62 52 0.804166666667
3 62 62 0.804166666667
3 62 72 0.804166666667
3 62 82 0.804166666667
3 62 92 0.804166666667
3 72 2 0.804166666667
3 72 12 0.804166666667
3 72 22 0.804166666667
3 72 32 0.804166666667
3 72 42 0.804166666667
3 72 52 0.804166666667
3 72 62 0.804166666667
3 72 72 0.804166666667
3 72 82 0.804166666667
3 72 92 0.804166666667
3 82 2 0.804166666667
3 82 12 0.804166666667
3 82 22 0.804166666667
3 82 32 0.804166666667
3 82 42 0.804166666667
3 82 52 0.804166666667
3 82 62 0.804166666667
3 82 72 0.804166666667
3 82 82 0.804166666667
3 82 92 0.804166666667
3 92 2 0.804166666667
3 92 12 0.804166666667
3 92 22 0.804166666667
3 92 32 0.804166666667
3 92 42 0.804166666667
3 92 52 0.804166666667
3 92 62 0.804166666667
3 92 72 0.804166666667
3 92 82 0.804166666667
3 92 92 0.804166666667
4 2 2 0.803666666667
4 2 12 0.803666666667
4 2 22 0.803666666667
4 2 32 0.803666666667
4 2 42 0.803666666667
4 2 52 0.803666666667
4 2 62 0.803666666667
4 2 72 0.803666666667
4 2 82 0.803666666667
4 2 92 0.803666666667
4 12 2 0.805333333333
4 12 12 0.805333333333
4 12 22 0.805333333333
4 12 32 0.805333333333
4 12 42 0.806
4 12 52 0.806
4 12 62 0.806
4 12 72 0.806
4 12 82 0.806
4 12 92 0.806
4 22 2 0.806
4 22 12 0.806
4 22 22 0.806
4 22 32 0.806
4 22 42 0.806
4 22 52 0.806
4 22 62 0.806
4 22 72 0.806
4 22 82 0.806
4 22 92 0.806
4 32 2 0.804333333333
4 32 12 0.804333333333
4 32 22 0.804333333333
4 32 32 0.804333333333
4 32 42 0.804333333333
4 32 52 0.804333333333
4 32 62 0.804333333333
4 32 72 0.804333333333
4 32 82 0.804333333333
4 32 92 0.804333333333
4 42 2 0.804333333333
4 42 12 0.804333333333
4 42 22 0.804333333333
4 42 32 0.804333333333
4 42 42 0.804333333333
4 42 52 0.804333333333
4 42 62 0.804333333333
4 42 72 0.804333333333
4 42 82 0.804333333333
4 42 92 0.804333333333
4 52 2 0.802833333333
4 52 12 0.802833333333
4 52 22 0.802833333333
4 52 32 0.802833333333
4 52 42 0.802833333333
4 52 52 0.802833333333
4 52 62 0.802833333333
4 52 72 0.802833333333
4 52 82 0.802833333333
4 52 92 0.802833333333
4 62 2 0.804166666667
4 62 12 0.804166666667
4 62 22 0.804166666667
4 62 32 0.804166666667
4 62 42 0.804166666667
4 62 52 0.804166666667
